ReleaseNumber|DrugId|DosageStructureCode
29|28100010554|1
29|28100010554|2
29|28100010554|3
29|28100020455|4
29|28100020455|5
29|28100020455|6
29|28100020455|7
29|28100076255|1
29|28100076255|8
29|28100076255|9
29|28100076255|10
29|28100122055|1
29|28100122055|8
29|28100137555|11
29|28100137555|12
29|28100137555|8
29|28100142255|13
29|28100142255|14
29|28100142255|15
29|28100187056|11
29|28100187056|16
29|28100187056|6
29|28100187056|17
29|28100187056|18
29|28100187056|1
29|28100187056|8
29|28100187056|19
29|28100259658|5
29|28100259658|20
29|28100259658|6
29|28100259658|21
29|28100259658|22
29|28100286458|23
29|28100286458|24
29|28100286458|25
29|28100289759|26
29|28100289759|27
29|28100289759|28
29|28100312259|29
29|28100312259|30
29|28100312259|31
29|28100312259|32
29|28100312259|33
29|28100327560|4
29|28100327560|34
29|28100327560|35
29|28100327560|5
29|28100327560|6
29|28100335260|36
29|28100368661|16
29|28100368661|1
29|28100368661|37
29|28100368661|38
29|28100385861|39
29|28100385861|40
29|28100399462|11
29|28100399462|16
29|28100399462|1
29|28100399462|8
29|28100405762|41
29|28100405762|42
29|28100405762|43
29|28100405762|44
29|28100405762|45
29|28100405762|46
29|28100405762|47
29|28100405762|48
29|28100405762|49
29|28100405762|50
29|28100405762|51
29|28100405762|52
29|28100405762|53
29|28100405762|54
29|28100405762|54
29|28100408962|29
29|28100408962|30
29|28100408962|31
29|28100408962|32
29|28100408962|33
29|28100420262|5
29|28100420262|6
29|28100420262|18
29|28100420262|55
29|28100430763|1
29|28100430763|8
29|28100435763|56
29|28100435763|57
29|28100435763|56
29|28100439163|5
29|28100439163|6
29|28100439163|7
29|28100445563|11
29|28100445563|16
29|28100454364|11
29|28100454364|16
29|28100454364|1
29|28100454364|8
29|28100454364|58
29|28100457064|40
29|28100457064|39
29|28100457064|59
29|28100457064|60
29|28100466264|61
29|28100466264|62
29|28100474265|40
29|28100474265|39
29|28100478565|16
29|28100478565|6
29|28100478565|1
29|28100487965|41
29|28100487965|42
29|28100487965|43
29|28100487965|44
29|28100487965|45
29|28100487965|46
29|28100487965|47
29|28100487965|48
29|28100487965|49
29|28100493671|34
29|28100493671|35
29|28100493671|5
29|28100493671|6
29|28100493671|63
29|28100493671|64
29|28100520967|16
29|28100520967|65
29|28100520967|1
29|28100520967|8
29|28100521967|66
29|28100521967|67
29|28100526567|16
29|28100526567|17
29|28100528167|16
29|28100528167|1
29|28100533567|11
29|28100533567|16
29|28100533567|1
29|28100533567|8
29|28100533567|58
29|28100552969|68
29|28100552969|69
29|28100552969|70
29|28100552969|71
29|28100559669|72
29|28100559669|73
29|28100559669|74
29|28100559669|75
29|28100565569|76
29|28100573870|69
29|28100573870|77
29|28100573870|78
29|28100573870|79
29|28100573870|77
29|28100575570|5
29|28100575570|6
29|28100575570|80
29|28100575570|5
29|28100575570|7
29|28100575670|16
29|28100575670|6
29|28100579370|16
29|28100579370|6
29|28100579370|1
29|28100582370|5
29|28100582370|20
29|28100582370|6
29|28100583070|16
29|28100583070|6
29|28100583070|1
29|28100583770|39
29|28100583870|81
29|28100590071|82
29|28100590071|83
29|28100590071|84
29|28100590071|85
29|28100594371|11
29|28100594371|16
29|28100594371|6
29|28100594371|18
29|28100594371|1
29|28100594371|8
29|28100599671|39
29|28100599671|59
29|28100607472|1
29|28100607472|8
29|28100607472|19
29|28100608672|86
29|28100608672|87
29|28100609972|1
29|28100609972|8
29|28100611372|11
29|28100611372|16
29|28100611372|17
29|28100611372|1
29|28100611372|8
29|28100611372|19
29|28100612972|5
29|28100612972|6
29|28100612972|18
29|28100612972|55
29|28100612972|7
29|28100615172|40
29|28100615172|39
29|28100615172|59
29|28100615172|60
29|28100615372|88
29|28100615372|89
29|28100615372|13
29|28100615372|90
29|28100616672|1
29|28100616672|8
29|28100620972|11
29|28100620972|16
29|28100620972|65
29|28100620972|1
29|28100622372|1
29|28100622372|8
29|28100622372|58
29|28100622372|19
29|28100627873|13
29|28100627873|15
29|28100627873|88
29|28100627873|91
29|28100627873|92
29|28100631373|16
29|28100631373|1
29|28100631373|8
29|28100631373|19
29|28100631373|93
29|28100631373|94
29|28100631773|1
29|28100631773|8
29|28100631773|19
29|28100632573|39
29|28100632573|59
29|28100632673|39
29|28100632673|59
29|28100636073|95
29|28100636073|96
29|28100636073|97
29|28100636073|63
29|28100636073|98
29|28100636073|64
29|28100636073|99
29|28100636073|10
29|28100636473|100
29|28100636473|101
29|28100636473|102
29|28100636473|103
29|28100636573|40
29|28100636573|39
29|28100636573|59
29|28100636573|60
29|28100636673|68
29|28100636673|68
29|28100636673|82
29|28100636673|82
29|28100636673|83
29|28100636673|83
29|28100636673|85
29|28100636773|68
29|28100636773|85
29|28100636773|69
29|28100636773|68
29|28100636773|69
29|28100636773|82
29|28100636773|82
29|28100636773|85
29|28100643374|11
29|28100643374|16
29|28100643374|6
29|28100643374|17
29|28100643374|1
29|28100643374|104
29|28100643374|105
29|28100643574|16
29|28100643574|17
29|28100643574|1
29|28100643574|104
29|28100643574|105
29|28100645874|8
29|28100645874|58
29|28100645974|1
29|28100649974|39
29|28100649974|59
29|28100651774|16
29|28100651774|6
29|28100651774|17
29|28100651774|18
29|28100651774|1
29|28100651874|16
29|28100651874|6
29|28100651874|17
29|28100651874|18
29|28100651874|1
29|28100656374|16
29|28100656374|6
29|28100656374|18
29|28100656374|1
29|28100656474|106
29|28100656474|107
29|28100656474|6
29|28100656474|63
29|28100656474|64
29|28100656574|16
29|28100656574|6
29|28100656574|18
29|28100656574|1
29|28100665575|108
29|28100665775|109
29|28100665775|110
29|28100665775|111
29|28100665775|112
29|28100668975|16
29|28100668975|65
29|28100668975|1
29|28100668975|8
29|28100669775|6
29|28100669775|18
29|28100669975|6
29|28100676975|66
29|28100676975|67
29|28100688875|39
29|28100690976|5
29|28100690976|6
29|28100690976|18
29|28100691076|6
29|28100691076|18
29|28100695476|16
29|28100695476|1
29|28100695576|16
29|28100695576|1
29|28100695576|37
29|28100695576|38
29|28100695676|66
29|28100695676|37
29|28100695676|38
29|28100698876|40
29|28100698876|39
29|28100698876|59
29|28100698876|60
29|28100717276|29
29|28100717276|30
29|28100717276|31
29|28100722776|37
29|28100722776|66
29|28100723576|16
29|28100723576|65
29|28100723576|6
29|28100723576|1
29|28100723676|16
29|28100723676|6
29|28100726176|96
29|28100726176|63
29|28100726176|64
29|28100734576|11
29|28100734576|16
29|28100734576|1
29|28100734576|8
29|28100744776|16
29|28100744776|6
29|28100744776|18
29|28100744776|1
29|28100750576|11
29|28100787776|113
29|28100902476|35
29|28100902476|63
29|28100902976|114
29|28100902976|115
29|28100902976|13
29|28100902976|116
29|28100903176|16
29|28100903176|6
29|28100903676|16
29|28100903676|6
29|28100903676|1
29|28100903776|16
29|28100903776|6
29|28100903776|1
29|28100907676|117
29|28100907676|118
29|28100907676|109
29|28100907676|110
29|28100907676|119
29|28100913176|1
29|28100913176|8
29|28100913877|120
29|28100913877|81
29|28100913877|121
29|28100918177|122
29|28100918177|31
29|28100918277|122
29|28100918277|31
29|28100919477|66
29|28100919477|67
29|28100920077|69
29|28100920077|77
29|28100920477|11
29|28100920477|16
29|28100920477|6
29|28100920477|18
29|28100924177|49
29|28100924177|49
29|28100924377|123
29|28100924377|124
29|28100924377|125
29|28100924377|126
29|28100924377|127
29|28100925773|11
29|28100925773|1
29|28100925773|8
29|28100926477|68
29|28100926477|128
29|28100927977|40
29|28100927977|39
29|28100927977|59
29|28100927977|60
29|28100948277|11
29|28100948277|16
29|28100948277|6
29|28100948277|8
29|28100948277|58
29|28100950170|16
29|28100950170|6
29|28100950170|1
29|28100950565|16
29|28100950565|6
29|28100950565|1
29|28100965465|40
29|28100965465|39
29|28100965465|59
29|28100965465|60
29|28100966278|65
29|28100966278|1
29|28100970678|65
29|28100975178|69
29|28100975178|77
29|28100980178|16
29|28100980178|17
29|28100980178|1
29|28100980178|19
29|28100980178|80
29|28100980178|80
29|28100980178|129
29|28100980278|130
29|28100980278|131
29|28100980278|132
29|28100982178|68
29|28100982178|69
29|28100982178|82
29|28100982178|83
29|28100982178|84
29|28100982178|85
29|28100983067|11
29|28100983067|16
29|28100983067|1
29|28100988878|11
29|28100988878|16
29|28100988878|1
29|28100988878|8
29|28100988878|58
29|28100989878|106
29|28100989878|107
29|28100989878|6
29|28100989878|63
29|28100989878|64
29|28100989978|16
29|28100989978|6
29|28100989978|18
29|28100989978|1
29|28100991168|11
29|28100991168|8
29|28100991168|58
29|28100991168|133
29|28100991878|5
29|28100991878|20
29|28100991878|6
29|28100991878|66
29|28100991878|37
29|28100991878|38
29|28100991878|7
29|28100991878|134
29|28100991978|135
29|28100991978|136
29|28100991978|137
29|28100991978|138
29|28100991978|139
29|28100991978|140
29|28100993578|141
29|28100993578|142
29|28100994078|68
29|28100994078|69
29|28100994978|63
29|28100994978|64
29|28100994978|143
29|28100996278|34
29|28100996278|35
29|28100996278|6
29|28100996855|11
29|28100996855|144
29|28100996855|145
29|28101000672|1
29|28101000672|19
29|28101003665|16
29|28101003665|65
29|28101003665|6
29|28101003665|1
29|28101003765|16
29|28101003765|6
29|28101005764|4
29|28101005764|5
29|28101005764|6
29|28101005764|18
29|28101005764|7
29|28101009755|16
29|28101009755|65
29|28101009755|1
29|28101009755|3
29|28101009755|66
29|28101009755|146
29|28101010979|11
29|28101010979|16
29|28101010979|6
29|28101010979|1
29|28101010979|147
29|28101011661|16
29|28101011661|1
29|28101012255|148
29|28101012255|131
29|28101012255|149
29|28101027479|6
29|28101027479|18
29|28101028579|16
29|28101028579|6
29|28101028579|17
29|28101028579|18
29|28101029379|5
29|28101029379|6
29|28101029379|66
29|28101029379|37
29|28101029379|38
29|28101029379|7
29|28101029479|5
29|28101029479|20
29|28101029479|6
29|28101029479|66
29|28101029479|37
29|28101029479|38
29|28101029479|7
29|28101029479|134
29|28101029579|5
29|28101029579|6
29|28101029579|66
29|28101029579|37
29|28101029579|38
29|28101029579|7
29|28101032579|66
29|28101032579|67
29|28101032979|135
29|28101032979|136
29|28101032979|137
29|28101032979|138
29|28101032979|139
29|28101032979|140
29|28101033279|89
29|28101033279|13
29|28101033279|150
29|28101034579|120
29|28101034579|81
29|28101040380|16
29|28101040380|6
29|28101040380|1
29|28101040480|16
29|28101040480|6
29|28101040480|1
29|28101040580|12
29|28101040580|16
29|28101040580|65
29|28101040580|6
29|28101040580|1
29|28101040580|8
29|28101040580|105
29|28101041280|130
29|28101041280|151
29|28101041280|152
29|28101041280|131
29|28101045080|1
29|28101048680|1
29|28101048680|8
29|28101055980|6
29|28101055980|113
29|28101058280|5
29|28101058280|6
29|28101058280|7
29|28101058380|16
29|28101058380|5
29|28101058380|6
29|28101058380|1
29|28101058380|7
29|28101060981|1
29|28101060981|8
29|28101061081|63
29|28101061181|63
29|28101061781|81
29|28101061781|153
29|28101062281|16
29|28101062281|65
29|28101062281|1
29|28101062281|8
29|28101063581|5
29|28101063581|6
29|28101063581|66
29|28101063581|37
29|28101063581|38
29|28101063581|7
29|28101065581|154
29|28101065581|155
29|28101065581|156
29|28101065581|157
29|28101065581|158
29|28101065581|159
29|28101065881|160
29|28101065881|161
29|28101066181|6
29|28101066181|162
29|28101066981|11
29|28101066981|16
29|28101066981|5
29|28101066981|6
29|28101066981|1
29|28101066981|8
29|28101067781|12
29|28101067781|65
29|28101067781|1
29|28101067781|8
29|28101067881|12
29|28101067881|65
29|28101067881|1
29|28101067881|8
29|28101068881|16
29|28101068881|6
29|28101068981|16
29|28101068981|5
29|28101068981|20
29|28101068981|6
29|28101068981|1
29|28101068981|7
29|28101072581|16
29|28101072581|65
29|28101072581|1
29|28101072581|66
29|28101072581|37
29|28101073581|16
29|28101073681|40
29|28101073681|39
29|28101080181|11
29|28101080181|16
29|28101080281|61
29|28101080281|109
29|28101082281|155
29|28101082281|136
29|28101082981|114
29|28101082981|115
29|28101082981|13
29|28101082981|116
29|28101084681|16
29|28101084681|6
29|28101084681|17
29|28101084681|18
29|28101088281|1
29|28101088281|19
29|28101088281|163
29|28101100082|39
29|28101100082|59
29|28101100182|12
29|28101100182|65
29|28101100182|1
29|28101100182|8
29|28101100282|16
29|28101100282|65
29|28101100282|17
29|28101100282|1
29|28101102182|11
29|28101102182|16
29|28101102482|147
29|28101102482|164
29|28101107082|11
29|28101107082|16
29|28101107082|1
29|28101107082|8
29|28101107182|16
29|28101107182|17
29|28101107182|1
29|28101107182|19
29|28101107682|6
29|28101115082|1
29|28101115082|19
29|28101115082|163
29|28101116082|165
29|28101120682|16
29|28101120682|1
29|28101120682|8
29|28101121482|66
29|28101121482|37
29|28101124183|12
29|28101124183|1
29|28101124183|8
29|28101124183|58
29|28101124183|133
29|28101124283|12
29|28101124283|1
29|28101124283|8
29|28101124283|19
29|28101129383|5
29|28101129383|6
29|28101131083|89
29|28101131083|13
29|28101131883|11
29|28101131883|16
29|28101131883|65
29|28101131883|1
29|28101136383|16
29|28101136383|65
29|28101136383|6
29|28101136383|16
29|28101136383|6
29|28101136383|1
29|28101136383|1
29|28101136383|65
29|28101137583|166
29|28101139683|11
29|28101139683|16
29|28101139683|17
29|28101139883|16
29|28101140683|5
29|28101140683|6
29|28101140683|7
29|28101143283|167
29|28101143283|168
29|28101143283|107
29|28101145783|11
29|28101145783|16
29|28101145783|169
29|28101145883|170
29|28101145883|171
29|28101162183|16
29|28101162183|65
29|28101162183|17
29|28101162183|1
29|28101162283|11
29|28101162283|16
29|28101162283|1
29|28101162283|8
29|28101164183|11
29|28101164183|16
29|28101167883|11
29|28101167883|16
29|28101167883|65
29|28101169483|172
29|28101169983|173
29|28101169983|76
29|28101173183|174
29|28101173183|149
29|28101173483|39
29|28101176884|6
29|28101177684|16
29|28101177684|6
29|28101177684|18
29|28101177684|1
29|28101181584|16
29|28101181584|6
29|28101181584|17
29|28101181584|18
29|28101181884|175
29|28101183784|176
29|28101183784|177
29|28101183984|66
29|28101183984|67
29|28101185584|16
29|28101185584|5
29|28101185584|6
29|28101186784|66
29|28101186784|67
29|28101187684|16
29|28101187684|6
29|28101187684|1
29|28101187684|8
29|28101187784|16
29|28101187784|6
