ReleaseNumber|DrugId|DosageStructureCode
30|28100010554|1
30|28100010554|2
30|28100010554|3
30|28100020455|4
30|28100020455|5
30|28100020455|6
30|28100020455|7
30|28100076255|1
30|28100076255|8
30|28100076255|9
30|28100076255|10
30|28100122055|1
30|28100122055|8
30|28100137555|11
30|28100137555|12
30|28100137555|8
30|28100142255|13
30|28100142255|14
30|28100142255|15
30|28100187056|11
30|28100187056|16
30|28100187056|6
30|28100187056|17
30|28100187056|18
30|28100187056|1
30|28100187056|8
30|28100187056|19
30|28100259658|5
30|28100259658|20
30|28100259658|6
30|28100259658|21
30|28100259658|22
30|28100286458|23
30|28100286458|24
30|28100286458|25
30|28100289759|26
30|28100289759|27
30|28100289759|28
30|28100312259|29
30|28100312259|30
30|28100312259|31
30|28100312259|32
30|28100312259|33
30|28100327560|4
30|28100327560|34
30|28100327560|35
30|28100327560|5
30|28100327560|6
30|28100335260|36
30|28100368661|16
30|28100368661|1
30|28100368661|37
30|28100368661|38
30|28100385861|39
30|28100385861|40
30|28100399462|11
30|28100399462|16
30|28100399462|1
30|28100399462|8
30|28100405762|41
30|28100405762|42
30|28100405762|43
30|28100405762|44
30|28100405762|45
30|28100405762|46
30|28100405762|47
30|28100405762|48
30|28100405762|49
30|28100405762|50
30|28100405762|51
30|28100405762|52
30|28100405762|53
30|28100405762|54
30|28100405762|54
30|28100408962|29
30|28100408962|30
30|28100408962|31
30|28100408962|32
30|28100408962|33
30|28100420262|5
30|28100420262|6
30|28100420262|18
30|28100420262|55
30|28100430763|1
30|28100430763|8
30|28100435763|56
30|28100435763|57
30|28100435763|56
30|28100439163|5
30|28100439163|6
30|28100439163|7
30|28100445563|11
30|28100445563|16
30|28100454364|11
30|28100454364|16
30|28100454364|1
30|28100454364|8
30|28100454364|58
30|28100457064|40
30|28100457064|39
30|28100457064|59
30|28100457064|60
30|28100466264|61
30|28100466264|62
30|28100474265|40
30|28100474265|39
30|28100478565|16
30|28100478565|6
30|28100478565|1
30|28100487965|41
30|28100487965|42
30|28100487965|43
30|28100487965|44
30|28100487965|45
30|28100487965|46
30|28100487965|47
30|28100487965|48
30|28100487965|49
30|28100493671|34
30|28100493671|35
30|28100493671|5
30|28100493671|6
30|28100493671|63
30|28100493671|64
30|28100520967|16
30|28100520967|65
30|28100520967|1
30|28100520967|8
30|28100521967|66
30|28100521967|67
30|28100526567|16
30|28100526567|17
30|28100528167|16
30|28100528167|1
30|28100533567|11
30|28100533567|16
30|28100533567|1
30|28100533567|8
30|28100533567|58
30|28100552969|68
30|28100552969|69
30|28100552969|70
30|28100552969|71
30|28100559669|72
30|28100559669|73
30|28100559669|74
30|28100559669|75
30|28100565569|76
30|28100573870|69
30|28100573870|77
30|28100573870|78
30|28100573870|79
30|28100573870|77
30|28100575570|5
30|28100575570|6
30|28100575570|80
30|28100575570|5
30|28100575570|7
30|28100575670|16
30|28100575670|6
30|28100579370|16
30|28100579370|6
30|28100579370|1
30|28100582370|5
30|28100582370|20
30|28100582370|6
30|28100583070|16
30|28100583070|6
30|28100583070|1
30|28100583770|39
30|28100583870|81
30|28100590071|82
30|28100590071|83
30|28100590071|84
30|28100590071|85
30|28100594371|11
30|28100594371|16
30|28100594371|6
30|28100594371|18
30|28100594371|1
30|28100594371|8
30|28100599671|39
30|28100599671|59
30|28100607472|1
30|28100607472|8
30|28100607472|19
30|28100608672|86
30|28100608672|87
30|28100609972|1
30|28100609972|8
30|28100611372|11
30|28100611372|16
30|28100611372|17
30|28100611372|1
30|28100611372|8
30|28100611372|19
30|28100612972|5
30|28100612972|6
30|28100612972|18
30|28100612972|55
30|28100612972|7
30|28100615172|40
30|28100615172|39
30|28100615172|59
30|28100615172|60
30|28100615372|88
30|28100615372|89
30|28100615372|13
30|28100615372|90
30|28100616672|1
30|28100616672|8
30|28100620972|11
30|28100620972|16
30|28100620972|65
30|28100620972|1
30|28100622372|1
30|28100622372|8
30|28100622372|58
30|28100622372|19
30|28100627873|13
30|28100627873|15
30|28100627873|88
30|28100627873|91
30|28100627873|92
30|28100631373|16
30|28100631373|1
30|28100631373|8
30|28100631373|19
30|28100631373|93
30|28100631373|94
30|28100631773|1
30|28100631773|8
30|28100631773|19
30|28100632573|39
30|28100632573|59
30|28100632673|39
30|28100632673|59
30|28100636073|95
30|28100636073|96
30|28100636073|97
30|28100636073|63
30|28100636073|98
30|28100636073|64
30|28100636073|99
30|28100636073|10
30|28100636473|100
30|28100636473|101
30|28100636473|102
30|28100636473|103
30|28100636573|40
30|28100636573|39
30|28100636573|59
30|28100636573|60
30|28100636673|68
30|28100636673|68
30|28100636673|82
30|28100636673|82
30|28100636673|83
30|28100636673|83
30|28100636673|85
30|28100636773|68
30|28100636773|85
30|28100636773|69
30|28100636773|68
30|28100636773|69
30|28100636773|82
30|28100636773|82
30|28100636773|85
30|28100643374|11
30|28100643374|16
30|28100643374|6
30|28100643374|17
30|28100643374|1
30|28100643374|104
30|28100643374|105
30|28100643574|16
30|28100643574|17
30|28100643574|1
30|28100643574|104
30|28100643574|105
30|28100645874|8
30|28100645874|58
30|28100645974|1
30|28100649974|39
30|28100649974|59
30|28100651774|16
30|28100651774|6
30|28100651774|17
30|28100651774|18
30|28100651774|1
30|28100651874|16
30|28100651874|6
30|28100651874|17
30|28100651874|18
30|28100651874|1
30|28100656374|16
30|28100656374|6
30|28100656374|18
30|28100656374|1
30|28100656474|106
30|28100656474|107
30|28100656474|6
30|28100656474|63
30|28100656474|64
30|28100656574|16
30|28100656574|6
30|28100656574|18
30|28100656574|1
30|28100665575|108
30|28100665775|109
30|28100665775|110
30|28100665775|111
30|28100665775|112
30|28100668975|16
30|28100668975|65
30|28100668975|1
30|28100668975|8
30|28100669775|6
30|28100669775|18
30|28100669975|6
30|28100676975|66
30|28100676975|67
30|28100688875|39
30|28100690976|5
30|28100690976|6
30|28100690976|18
30|28100691076|6
30|28100691076|18
30|28100695476|16
30|28100695476|1
30|28100695576|16
30|28100695576|1
30|28100695576|37
30|28100695576|38
30|28100695676|66
30|28100695676|37
30|28100695676|38
30|28100698876|40
30|28100698876|39
30|28100698876|59
30|28100698876|60
30|28100717276|29
30|28100717276|30
30|28100717276|31
30|28100722776|37
30|28100722776|66
30|28100723576|16
30|28100723576|65
30|28100723576|6
30|28100723576|1
30|28100723676|16
30|28100723676|6
30|28100726176|96
30|28100726176|63
30|28100726176|64
30|28100734576|11
30|28100734576|16
30|28100734576|1
30|28100734576|8
30|28100744776|16
30|28100744776|6
30|28100744776|18
30|28100744776|1
30|28100750576|11
30|28100787776|113
30|28100902476|35
30|28100902476|63
30|28100902976|114
30|28100902976|115
30|28100902976|13
30|28100902976|116
30|28100903176|16
30|28100903176|6
30|28100903676|16
30|28100903676|6
30|28100903676|1
30|28100903776|16
30|28100903776|6
30|28100903776|1
30|28100907676|117
30|28100907676|118
30|28100907676|109
30|28100907676|110
30|28100907676|119
30|28100913176|1
30|28100913176|8
30|28100913877|120
30|28100913877|81
30|28100913877|121
30|28100918177|122
30|28100918177|31
30|28100918277|122
30|28100918277|31
30|28100919477|66
30|28100919477|67
30|28100920077|69
30|28100920077|77
30|28100920477|11
30|28100920477|16
30|28100920477|6
30|28100920477|18
30|28100924177|49
30|28100924177|49
30|28100924377|123
30|28100924377|124
30|28100924377|125
30|28100924377|126
30|28100924377|127
30|28100925773|11
30|28100925773|1
30|28100925773|8
30|28100926477|68
30|28100926477|128
30|28100927977|40
30|28100927977|39
30|28100927977|59
30|28100927977|60
30|28100948277|11
30|28100948277|16
30|28100948277|6
30|28100948277|8
30|28100948277|58
30|28100950170|16
30|28100950170|6
30|28100950170|1
30|28100950565|16
30|28100950565|6
30|28100950565|1
30|28100965465|40
30|28100965465|39
30|28100965465|59
30|28100965465|60
30|28100966278|65
30|28100966278|1
30|28100970678|65
30|28100975178|69
30|28100975178|77
30|28100980178|16
30|28100980178|17
30|28100980178|1
30|28100980178|19
30|28100980178|80
30|28100980178|80
30|28100980178|129
30|28100980278|130
30|28100980278|131
30|28100980278|132
30|28100982178|68
30|28100982178|69
30|28100982178|82
30|28100982178|83
30|28100982178|84
30|28100982178|85
30|28100983067|11
30|28100983067|16
30|28100983067|1
30|28100988878|11
30|28100988878|16
30|28100988878|1
30|28100988878|8
30|28100988878|58
30|28100989878|106
30|28100989878|107
30|28100989878|6
30|28100989878|63
30|28100989878|64
30|28100989978|16
30|28100989978|6
30|28100989978|18
30|28100989978|1
30|28100991168|11
30|28100991168|8
30|28100991168|58
30|28100991168|133
30|28100991878|5
30|28100991878|20
30|28100991878|6
30|28100991878|66
30|28100991878|37
30|28100991878|38
30|28100991878|7
30|28100991878|134
30|28100991978|135
30|28100991978|136
30|28100991978|137
30|28100991978|138
30|28100991978|139
30|28100991978|140
30|28100993578|141
30|28100993578|142
30|28100994078|68
30|28100994078|69
30|28100994978|63
30|28100994978|64
30|28100994978|143
30|28100996278|34
30|28100996278|35
30|28100996278|6
30|28100996855|11
30|28100996855|144
30|28100996855|145
30|28101000672|1
30|28101000672|19
30|28101003665|16
30|28101003665|65
30|28101003665|6
30|28101003665|1
30|28101003765|16
30|28101003765|6
30|28101005764|4
30|28101005764|5
30|28101005764|6
30|28101005764|18
30|28101005764|7
30|28101009755|16
30|28101009755|65
30|28101009755|1
30|28101009755|3
30|28101009755|66
30|28101009755|146
30|28101010979|11
30|28101010979|16
30|28101010979|6
30|28101010979|1
30|28101010979|147
30|28101011661|16
30|28101011661|1
30|28101012255|148
30|28101012255|131
30|28101012255|149
30|28101027479|6
30|28101027479|18
30|28101028579|16
30|28101028579|6
30|28101028579|17
30|28101028579|18
30|28101029379|5
30|28101029379|6
30|28101029379|66
30|28101029379|37
30|28101029379|38
30|28101029379|7
